Angel [],Alt. [m],Temp. [C],Misure 1,Misure 2,Misure 3,GATE [min],Avarenge,ST.DEV,ERR.,Flux [Hz],ERR.,COS(COS(Angle[RAD])),Offset
-90,21,25.70,41,36,30,2,"30,83","7,73","3,16","0,257","0,026","0,4000","-0,600"
-75,21,25.70,47,45,55,2,"48,50","6,06","2,47","0,404","0,021","0,4345",
-60,21,25.70,76,70,79,2,"75,67","4,76","1,94","0,631","0,016","0,5395",
-45,21,25.70,120,117,121,2,"122,33","3,67","1,50","1,019","0,012","0,7154",
-30,21,25.70,177,171,182,2,"183,83","8,66","3,53","1,532","0,029","0,9435",
-15,21,25.90,236,241,251,2,"235,33","12,50","5,10","1,961","0,043","1,1585",
0,21,25.90,241,240,252,2,"229,17","20,64","8,43","1,910","0,070","1,2508",
15,21,"26,0",240,235,245,2,"239,67","22,86","9,33","1,997","0,078","1,1585",
30,21,"26,0",162,170,189,2,"170,50","12,19","4,98","1,421","0,041","0,9435",
45,21,26.10,128,138,133,2,"127,00","8,22","3,36","1,058","0,028","0,7154",
60,21,"26,0",62,70,82,2,"79,00","13,45","5,49","0,658","0,046","0,5395",
75,21,"26,0",52,54,64,2,"47,67","11,57","4,72","0,397","0,039","0,4345",
90,21,"26,0",22,29,34,2,"28,83","4,83","1,97","0,240","0,016","0,4000",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
